#{"t_start": 1748499780.295404, "env_id": "None"}
r,l,t
-3494.062223,720,4.647927
-3190.764273,720,7.936537
-3416.74418,720,11.020302
-3342.819197,720,14.237035
-3566.04223,720,17.336386
-3350.954199,720,20.493035
-3715.803572,720,23.866236
-3572.756125,720,27.063512
-3007.151717,637,29.866111
-3549.31427,720,34.02303
-3484.787781,720,37.398629
-3708.931385,720,41.635683
-3529.870045,720,45.770877
-3327.870003,720,49.495239
-4243.978154,720,645.134631
